sample_name	43.332.A.	42.332.D.	41.332.A.	41.332.B.	10.332.A.	10.332.B.	13.332.A.	15.332.A.	47.332.A.	2.332.B....11	14.332.A.	1.332.O.	2.332.B....14	6.332.A.	9.332.B.	8.332.A....17	8.332.B....18	8.332.A....19	13.332.B.	15.332.B.	12.332.B.	4.332.O....23	5.332.B.	4.332.O....25	34.332.A.	8.332.A....27	8.332.B....28	2.329.O.	1.331.A.	5.331.B.	8.331.O.	1.007.O.	1.122.B.	1.122.A.	1.105.O.	1.106.O.	1.013.O.	1.149.O.	1.253.O.	1.186.O.	1.204.O.	1.256.O.	1.273.O.	1.289.A.	1.293.O.	1.173.O.	1.178.O.	1.197.A.	1.199.A.	1.199.B.	1.201.B.	1.214.O.	1.236.O.	1.243.O.	1.248.O.	1.263.A.	1.263.B.	1.265.O.	1.275.O.	1.276.O.	1.278.O.	1.284.A.	1.286.O.	1.287.O.	1.215.A.	45.332.B.	40.332.C.	42.332.A.	1.329.O.	7.329.O.	8.329.O.	3.330.B.	5.330.B.	7.330.B.	1.331.B.	1.080.O.	1.043.O.	total_interactions	one_or_more	two_or_more	three_or_more
10N.239.311.A09	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.239.311.B02	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	3	TRUE	TRUE	TRUE
10N.239.311.B03	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
10N.239.311.B10	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	3	TRUE	TRUE	TRUE
10N.239.311.B11	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.239.311.C11	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	2	TRUE	TRUE	FALSE
10N.239.311.D05	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.239.311.D07	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.239.311.E01	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	2	TRUE	TRUE	FALSE
10N.239.311.E03	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.239.311.F08	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	4	TRUE	TRUE	TRUE
10N.239.311.G07	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	3	TRUE	TRUE	TRUE
10N.239.311.G11	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.239.311.H11	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.239.312.A01	Observed	Observed	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Observed	Observed	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Observed	Observed	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Observed	Observed	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Observed	Observed	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Observed	Observed	Observed	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Observed	Observed	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Observed	Observed	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	32	TRUE	TRUE	TRUE
10N.239.312.B09	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
10N.239.312.D01	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.239.312.H01	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	4	TRUE	TRUE	TRUE
10N.239.312.H11	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
10N.247.310.01	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.247.310.22	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.247.310.38	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.247.310.82	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.247.310.87	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.247.310.92	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
10N.247.310.95	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	0	FALSE	FALSE	FALSE
10N.247.310.97	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Observed	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	Unobserved	1	TRUE	FALSE	FALSE
